"Id","IdParinte","Sectiune","An","NumeInstitutie","DenumireIndicator","Suma"
"15","15","7001","2013","Ministerul dezvoltarii regionale si administratiei publice","LOCUINTE, SERVICII SI DEZVOLTARE PUBLICA","890838"
"15","15","7001","2013","Ministerul dezvoltarii regionale si administratiei publice","TITLUL IV SUBVENTII","126000"
"15","15","7001","2013","Ministerul dezvoltarii regionale si administratiei publice","TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE","583077"
"15","15","7001","2013","Ministerul dezvoltarii regionale si administratiei publice","TITLUL VII ALTE TRANSFERURI","85000"
"15","15","7001","2013","Ministerul dezvoltarii regionale si administratiei publice","TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA","11183"
"15","15","7001","2013","Ministerul dezvoltarii regionale si administratiei publice","TITLUL XII ACTIVE NEFINANCIARE","85578"
"15","15","8001","2013","Ministerul dezvoltarii regionale si administratiei publice","ACTIUNI GENERALE ECONOMICE, COMERCIALE SI DE MUNCA","1078131"
"15","15","8001","2013","Ministerul dezvoltarii regionale si administratiei publice","TITLUL VII ALTE TRANSFERURI","258"
"15","15","8001","2013","Ministerul dezvoltarii regionale si administratiei publice","TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE","1077873"
"16","0","5001","2013","Ministerul finantelor publice","CHELTUIELI - BUGET DE STAT","2785351"
"16","16","5001","2013","Ministerul finantelor publice","TITLUL I CHELTUIELI DE PERSONAL","1867087"
"16","16","5001","2013","Ministerul finantelor publice","TITLUL II BUNURI SI SERVICII","269194"
"16","16","5001","2013","Ministerul finantelor publice","TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE","985"
"16","16","5001","2013","Ministerul finantelor publice","TITLUL VII ALTE TRANSFERURI","13365"
"16","16","5001","2013","Ministerul finantelor publice","TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE","85844"
"16","16","5001","2013","Ministerul finantelor publice","TITLUL X ALTE CHELTUIELI","184491"
"16","16","5001","2013","Ministerul finantelor publice","TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA","18809"
"16","16","5001","2013","Ministerul finantelor publice","TITLUL XII ACTIVE NEFINANCIARE","75228"
"16","16","5001","2013","Ministerul finantelor publice","TITLUL XIII ACTIVE FINANCIARE","270348"
"16","16","5101","2013","Ministerul finantelor publice","AUTORITATI PUBLICE SI ACTIUNI EXTERNE","2311835"
"16","16","5101","2013","Ministerul finantelor publice","TITLUL I CHELTUIELI DE PERSONAL","1867087"
"16","16","5101","2013","Ministerul finantelor publice","TITLUL II BUNURI SI SERVICII","252959"
"16","16","5101","2013","Ministerul finantelor publice","TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE","985"
"16","16","5101","2013","Ministerul finantelor publice","TITLUL VII ALTE TRANSFERURI","13032"
"16","16","5101","2013","Ministerul finantelor publice","TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE","85844"
