idinstitutie,idparinte,sectiune,an,numeinstitutie,denumireindicator,suma
11,11,510155,2013,Consiliul National al Audiovizualului,TITLUL VII ALTE TRANSFERURI,10
11,11,510159,2013,Consiliul National al Audiovizualului,TITLUL X  ALTE CHELTUIELI,3
11,11,510170,2013,Consiliul National al Audiovizualului,CHELTUIELI DE CAPITAL,37
11,11,510171,2013,Consiliul National al Audiovizualului,TITLUL XII ACTIVE NEFINANCIARE,37
12,0,5001,2013,Secretariatul General al Guvernului,CHELTUIELI - BUGET DE STAT,7345476
12,12,500101,2013,Secretariatul General al Guvernului,CHELTUIELI CURENTE,7246176
12,12,500110,2013,Secretariatul General al Guvernului,TITLUL I CHELTUIELI DE PERSONAL,317134
12,12,500120,2013,Secretariatul General al Guvernului,TITLUL II BUNURI SI SERVICII,155708
12,12,500130,2013,Secretariatul General al Guvernului,TITLUL III DOBANZI,39124
12,12,500151,2013,Secretariatul General al Guvernului,TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE,487205
12,12,500155,2013,Secretariatul General al Guvernului,TITLUL VII ALTE TRANSFERURI,1468808
12,12,500156,2013,Secretariatul General al Guvernului,TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE,2408832
12,12,500159,2013,Secretariatul General al Guvernului,TITLUL X  ALTE CHELTUIELI,859066
12,12,500165,2013,Secretariatul General al Guvernului,TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA,1510299
12,12,500170,2013,Secretariatul General al Guvernului,CHELTUIELI DE CAPITAL,13426
12,12,500171,2013,Secretariatul General al Guvernului,TITLUL XII ACTIVE NEFINANCIARE,13426
12,12,500179,2013,Secretariatul General al Guvernului,OPERATIUNI FINANCIARE,85874
12,12,500181,2013,Secretariatul General al Guvernului,TITLUL XVI RAMBURSARI DE CREDITE,85874
12,12,5101,2013,Secretariatul General al Guvernului,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,581311
12,12,510101,2013,Secretariatul General al Guvernului,CHELTUIELI CURENTE,568046
12,12,510110,2013,Secretariatul General al Guvernului,TITLUL I CHELTUIELI DE PERSONAL,306729
12,12,510120,2013,Secretariatul General al Guvernului,TITLUL II BUNURI SI SERVICII,153433
12,12,510151,2013,Secretariatul General al Guvernului,TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE,8500
12,12,510155,2013,Secretariatul General al Guvernului,TITLUL VII ALTE TRANSFERURI,8620
12,12,510156,2013,Secretariatul General al Guvernului,TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE,88840
12,12,510159,2013,Secretariatul General al Guvernului,TITLUL X  ALTE CHELTUIELI,240
12,12,510165,2013,Secretariatul General al Guvernului,TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA,1684
12,12,510170,2013,Secretariatul General al Guvernului,CHELTUIELI DE CAPITAL,13265
12,12,510171,2013,Secretariatul General al Guvernului,TITLUL XII ACTIVE NEFINANCIARE,13265
12,12,5401,2013,Secretariatul General al Guvernului,ALTE SERVICII PUBLICE GENERALE,454500
12,12,540101,2013,Secretariatul General al Guvernului,CHELTUIELI CURENTE,454500
12,12,540159,2013,Secretariatul General al Guvernului,TITLUL X  ALTE CHELTUIELI,454500
12,12,6501,2013,Secretariatul General al Guvernului,INVATAMANT,2101
12,12,650101,2013,Secretariatul General al Guvernului,CHELTUIELI CURENTE,2101
12,12,650159,2013,Secretariatul General al Guvernului,TITLUL X  ALTE CHELTUIELI,2101
12,12,6701,2013,Secretariatul General al Guvernului,"CULTURA, RECREERE SI RELIGIE",416526
12,12,670101,2013,Secretariatul General al Guvernului,CHELTUIELI CURENTE,416465
12,12,670110,2013,Secretariatul General al Guvernului,TITLUL I CHELTUIELI DE PERSONAL,1574
12,12,670120,2013,Secretariatul General al Guvernului,TITLUL II BUNURI SI SERVICII,740
12,12,670151,2013,Secretariatul General al Guvernului,TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE,11926
12,12,670159,2013,Secretariatul General al Guvernului,TITLUL X  ALTE CHELTUIELI,402225
12,12,670170,2013,Secretariatul General al Guvernului,CHELTUIELI DE CAPITAL,61
12,12,670171,2013,Secretariatul General al Guvernului,TITLUL XII ACTIVE NEFINANCIARE,61
12,12,8001,2013,Secretariatul General al Guvernului,"ACTIUNI GENERALE ECONOMICE, COMERCIALE SI DE MUNCA",72874
12,12,800101,2013,Secretariatul General al Guvernului,CHELTUIELI CURENTE,72774
12,12,800110,2013,Secretariatul General al Guvernului,TITLUL I CHELTUIELI DE PERSONAL,8831
12,12,800120,2013,Secretariatul General al Guvernului,TITLUL II BUNURI SI SERVICII,1535
12,12,800156,2013,Secretariatul General al Guvernului,TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE,62408
12,12,800170,2013,Secretariatul General al Guvernului,CHELTUIELI DE CAPITAL,100
12,12,800171,2013,Secretariatul General al Guvernului,TITLUL XII ACTIVE NEFINANCIARE,100
12,12,8201,2013,Secretariatul General al Guvernului,"INDUSTRIA EXTRACTIVA, PRELUCRATOARE SI CONSTRUCTII",800
12,12,820101,2013,Secretariatul General al Guvernului,CHELTUIELI CURENTE,100
12,12,820130,2013,Secretariatul General al Guvernului,TITLUL III DOBANZI,100
12,12,820179,2013,Secretariatul General al Guvernului,OPERATIUNI FINANCIARE,700
12,12,820181,2013,Secretariatul General al Guvernului,TITLUL XVI RAMBURSARI DE CREDITE,700
12,12,8401,2013,Secretariatul General al Guvernului,TRANSPORTURI,5817364
12,12,840101,2013,Secretariatul General al Guvernului,CHELTUIELI CURENTE,5732190
12,12,840130,2013,Secretariatul General al Guvernului,TITLUL III DOBANZI,39024
